# ABI_EXPORT_STATUS.txt — the per-symbol status taxonomy of the exported
# lean_* C surface (plan §6.5; bead franken_lean-83r slice 1, completing the
# fln-lld census join).
#
# One `row` per Linkage::Export symbol of the generated census
# (fln-rt::abi::FUNCTION_CENSUS, extracted from the pinned lean.h): there is
# no unclassified symbol. `support` rows cover non-census symbols the pin's
# LEAN_MIMALLOC lean.h inlines link-demand from generated C (mimalloc.h twins).
# tools/structure-guard (FLN-STRUCT-026) enforces the join in BOTH directions:
#   * every census Export symbol has exactly one row; stale/unknown rows fail;
#   * every #[unsafe(export_name)] site in fln-unsafe-abi names a row with an
#     implemented status; an implemented row without a site is stale; an
#     Unsupported row with a site is a lie; export attrs anywhere else fail.
#
# Row grammar (five '|'-separated fields, all non-empty):
#   row <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
#   support <symbol> | <status> | <site> | <evidence> | <notes>
#   extern <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
# `extern` rows are runtime symbols OUTSIDE lean.h that generated C declares
# itself (the contracts/extern_census.tsv universe, surfaced by the stage0
# demand audit); they join export sites exactly like `row`s.
# status ∈ NativeSafe | RawPlatform | CompatWrapper | ReferenceSemanticAdapter
#          | Unsupported   (§6.5; Unsupported rows carry the owning bead)

schema fln-abi-export-status/1

row lean_alloc_object | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | membrane big path (object.cpp:355-376); OOM = INTERNAL PANIC like the pin
row lean_alloc_small | RawPlatform | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | raw prefixed small heap; slot-idx law asserted (lean.h:394-400)
row lean_apply_1 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_10 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_11 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_12 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_13 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_14 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_15 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_16 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_2 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_3 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_4 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_5 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
